Grundstueck in qm;Grundstuecksform;Steigung;Bezirk;Zone;Lage;Typ;Zustand;Gebaut;Renoviert;Zustand Fassade;Kellerflaeche in qm;Heizung;Heizungsqualitaet;Klimaanlage;Erster Stock in qm;Zweiter Stock in qm;Wohnflaeche in qm;Schlafzimmer;Kuechen;Kuechenqualitaet;Raeume;Garage Typ;Garagenkapazitaet;Pool;Verkaufsmonat;Verkaufsjahr;Preis
354;IR1;Ja;City Hall;RM;Norm;REH;5;2134;2135;3;148;GasA;Ex;Y;153;0;153;2;1;5;5;Anbau;2;NA;7;2138;250000
2422;IR1;Nein;City Hall;RL;Norm;1Fam;5;2086;2086;3;176;GasA;Ex;Y;176;0;176;3;1;3;7;Anbau;2;NA;4;2138;236500
675;Reg;Nein;Dixon Side;RL;Norm;1Fam;7;2055;2137;4;88;GasW;Gut;N;88;55;144;3;1;5;5;Freistehend;2;NA;10;2139;205000
669;Reg;Nein;New Gotham;RL;Norm;1Fam;7;2081;2130;3;84;GasA;Ty;Y;84;0;84;3;1;4;5;Freistehend;2;NA;5;2140;134800
669;Reg;Nein;ChinaTown;RL;Norm;1Fam;8;2102;2133;4;71;GasA;Gut;Y;71;0;71;2;1;3;5;Freistehend;1;NA;4;2139;133900
1000;IR1;Nein;Miller;RL;Norm;1Fam;5;2129;2129;3;91;GasA;Ex;Y;93;91;184;3;1;4;9;Anbau;2;NA;5;2139;225000
970;Reg;Nein;Old Gotham;RM;Norm;1Fam;7;2050;2080;4;140;GasW;Ex;Y;147;112;259;5;1;3;8;Freistehend;2;NA;6;2138;256000
755;Reg;Nein;Miller;RL;Norm;1Fam;5;2124;2125;3;65;GasA;Gut;Y;65;72;138;3;1;3;6;Anbau;2;NA;3;2139;174000
183;Reg;Nein;Paris Island;RM;Norm;RMH;7;2103;2136;4;49;GasA;Gut;Y;49;43;92;2;1;3;5;Eingebaut;1;NA;6;2138;105000
156;Reg;Nein;Novick District;RM;Norm;RMH;5;2101;2101;3;49;GasA;Ty;Y;49;53;101;3;1;3;6;Freistehend;1;NA;3;2140;105500
1501;IR1;Nein;DiamondDistrict;RL;Str;1Fam;7;2108;2108;3;126;GasA;Ex;Y;133;0;133;2;1;4;5;Anbau;2;NA;6;2137;194000
880;Reg;Nein;New Gotham;RL;Norm;1Fam;5;2096;2096;3;80;GasA;Ty;Y;83;0;83;3;1;3;5;Anbau;1;NA;10;2138;110000
923;Reg;Nein;Grand Park;RL;Norm;1Fam;6;2095;2095;3;117;GasA;Gut;Y;117;0;117;3;1;3;6;Anbau;1;NA;6;2138;147500
1449;IR1;Nein;City Hall;RL;Norm;1Fam;8;2089;2127;3;139;GasA;Ty;Y;167;0;167;1;1;3;6;Anbau;2;NA;3;2140;289000
757;IR1;Ja;City Hall;RL;Norm;2Fam;6;2070;2080;3;85;GasA;Ex;Y;115;115;230;5;2;3;13;Freistehend;2;NA;7;2139;205000
960;IR1;Nein;ChinaTown;RL;Norm;1Fam;5;2129;2129;3;138;GasA;Ex;Y;139;0;139;3;1;4;6;Anbau;2;NA;6;2139;204000
819;Reg;Nein;New Gotham;RL;Str;1Fam;6;2098;2098;3;68;GasA;Ex;Y;68;68;136;4;1;3;7;Anbau;2;NA;6;2138;141000
752;IR1;Nein;Tricorner;RL;Norm;1Fam;5;2130;2130;3;128;GasA;Ex;Y;130;0;130;2;1;4;5;Anbau;2;NA;10;2136;202000
1317;IR2;Nein;Somerset West;RL;Norm;1Fam;5;2123;2124;3;75;GasA;Ex;Y;102;102;204;4;1;4;9;Anbau;2;NA;12;2138;225000
1331;IR1;Nein;ChinaTown;RL;Norm;1Fam;6;2105;2131;3;80;GasA;Ty;Y;145;0;145;2;1;3;5;Anbau;2;NA;8;2138;163000
766;Reg;Nein;Grand Park;RL;Norm;1Fam;7;2065;2080;3;0;GasA;Ty;N;96;0;96;2;1;3;6;Freistehend;1;NA;6;2136;125000
256;Reg;Nein;Novick District;RM;Norm;REH;5;2103;2103;3;49;GasA;Ty;Y;49;53;101;3;1;3;6;Freistehend;2;NA;12;2136;105500
814;Reg;Nein;New Gotham;RL;Norm;1Fam;6;2089;2089;3;111;GasA;Ty;Y;111;0;111;3;1;3;6;Anbau;1;NA;4;2140;148000
359;Reg;Nein;Grand Park;RL;Norm;REH;6;2114;2114;5;96;GasA;Gut;Y;96;0;96;2;1;3;5;Anbau;1;NA;7;2137;130000
1208;IR1;Nein;North West;RL;Norm;1Fam;7;2110;2110;3;79;GasA;Ty;Y;107;111;219;4;1;5;10;Anbau;2;NA;8;2139;260000
291;IR1;Nein;North East;RL;Norm;REH;5;2133;2133;3;131;GasA;Ex;Y;131;0;131;2;1;4;6;Anbau;2;NA;3;2136;171750
625;Reg;Nein;Burnley;RL;Norm;1Fam;7;2101;2101;3;74;GasA;Ty;Y;74;0;74;2;1;3;5;NA;0;NA;9;2137;138000
810;IR1;Nein;North West;RL;Pos;1Fam;6;2099;2099;3;90;GasA;Ex;Y;101;0;101;3;1;3;6;Anbau;2;NA;1;2137;162500
815;IR1;Ja;Miller;RL;Norm;1Fam;5;2127;2127;3;85;GasA;Gut;Y;85;64;149;3;1;3;7;Anbau;2;NA;8;2137;169000
969;Reg;Nein;New Gotham;RL;Norm;1Fam;5;2086;2088;3;103;GasA;Gut;Y;103;0;103;3;1;3;5;Anbau;1;NA;4;2138;133000
959;Reg;Ja;Water District;RM;Str;2FamAn;7;2045;2095;4;65;GasA;Ex;Y;70;60;130;3;1;3;7;Freistehend;1;NA;2;2139;116000
1539;IR2;Ja;ChinaTown;RL;Norm;1Fam;5;2126;2126;3;102;GasA;Ex;Y;102;0;102;3;1;3;6;Anbau;1;NA;7;2137;147900
1513;Reg;Nein;Grand Park;RL;Norm;1Fam;6;2055;2080;4;84;GasA;Ty;Y;84;42;126;3;1;3;7;Freistehend;2;NA;7;2137;122000
868;Reg;Nein;Grand Park;RL;Norm;1Fam;6;2071;2080;3;62;GasA;Ty;Y;62;0;62;2;1;3;4;Anbau;1;NA;8;2139;113000
1045;IR1;Nein;ChinaTown;RL;Norm;1Fam;5;2128;2128;3;98;GasA;Ex;Y;99;81;180;3;1;4;8;Anbau;3;NA;5;2136;227000
583;Reg;Ja;City Hall;RH;Norm;2Fam;6;2079;2080;3;93;GasA;Ty;N;93;93;186;4;2;3;8;2Typen;3;NA;8;2137;145000
692;Reg;Ja;Water District;RM;Norm;1Fam;7;2060;2080;3;59;GasA;Ex;Y;103;0;103;3;1;4;6;Anbau;1;NA;6;2137;139400
1068;IR1;Nein;City Hall;RL;Norm;1Fam;7;2066;2117;3;94;GasA;Gut;Y;95;96;191;3;1;4;6;Anbau;1;NA;6;2136;250000
1353;Reg;Nein;New Gotham;RL;Norm;1Fam;7;2081;2130;3;94;GasA;Ex;Y;127;0;127;2;1;3;6;CarPort;1;NA;6;2139;164900
705;Reg;Nein;Grand Park;RL;Str;1Fam;3;2078;2080;3;75;GasA;Ud;Y;93;42;135;4;1;3;7;Freistehend;1;NA;8;2136;91500
1356;Reg;Nein;Tricorner;RL;Norm;1Fam;5;2136;2136;3;171;GasA;Ex;Y;171;0;171;2;1;5;8;Anbau;3;NA;3;2139;315000
951;Reg;Nein;Miller;RL;Bahn;1Fam;5;2135;2136;3;71;GasA;Ex;Y;71;71;143;3;1;4;6;Anbau;2;NA;6;2137;176000
869;Reg;Nein;New Gotham;RL;Norm;1Fam;6;2091;2125;3;122;GasA;Ty;Y;122;0;122;3;1;4;6;Anbau;2;NA;2;2139;153000
721;Reg;Nein;New Gotham;RL;Norm;1Fam;7;2092;2110;4;86;GasA;Ty;Y;119;0;119;3;1;3;6;Freistehend;2;NA;10;2138;140000
785;Reg;Nein;ChinaTown;RL;Norm;1Fam;7;2102;2137;3;71;GasA;Ty;Y;71;0;71;2;1;3;5;Freistehend;2;NA;3;2139;133000
1035;IR1;Nein;North East;RL;Norm;1Fam;5;2136;2136;3;159;GasA;Ex;Y;160;0;160;3;1;4;7;Anbau;3;NA;7;2139;255500
1080;Reg;Nein;New Gotham;RH;Str;1Fam;6;2091;2091;3;82;GasA;Ty;Y;83;0;83;2;1;3;5;Anbau;1;NA;6;2140;105000
1163;IR1;Nein;Burnley;RL;Norm;1Fam;7;2098;2098;3;94;GasA;Gut;Y;94;0;94;3;1;4;6;Anbau;1;NA;4;2139;139500
569;Reg;Nein;Dixon Side;RM;Norm;1Fam;8;2059;2131;3;77;GasA;Ex;Y;79;0;79;2;1;3;5;Freistehend;2;NA;7;2137;132000
833;IR1;Nein;Miller;RL;Norm;1Fam;5;2133;2133;3;73;GasA;Ex;Y;75;63;138;3;1;4;8;Anbau;2;NA;6;2139;192000
928;Reg;Nein;Burnley;RL;Norm;1Fam;5;2121;2121;3;156;GasA;Gut;Y;157;0;157;3;1;3;6;Anbau;2;NA;7;2138;228500
934;Reg;Nein;New Gotham;RL;Norm;1Fam;5;2085;2085;3;113;GasA;Ty;Y;113;0;113;3;1;3;5;Anbau;1;NA;8;2137;129500
811;IR1;Nein;Dixon Side;RL;Norm;1Fam;5;2050;2080;2;85;GasA;Ty;Y;108;0;108;3;1;3;6;Freistehend;2;NA;5;2137;144000
648;Reg;Nein;Somerset;RL;Str;1Fam;5;2091;2091;3;97;GasA;Ty;Y;104;0;104;3;1;2;5;Anbau;2;NA;5;2137;129000
720;Reg;Nein;Miller;RL;Bahn;1Fam;5;2132;2132;3;66;GasA;Ex;Y;66;66;131;3;1;4;6;Anbau;2;NA;4;2138;176000
805;IR1;Nein;ChinaTown;RL;Norm;1Fam;5;2106;2106;4;94;GasA;Ty;Y;95;0;95;3;1;3;6;Freistehend;2;NA;7;2137;153500
663;IR1;Nein;North East;RL;Norm;REH;5;2136;2136;3;127;GasA;Ex;Y;127;0;127;2;1;4;6;Anbau;2;NA;4;2140;205000
835;IR1;Nein;North West;RL;Pos;1Fam;6;2106;2106;3;114;GasA;Ty;Y;123;0;123;3;1;4;5;Anbau;2;NA;2;2137;174000
808;IR1;Nein;Miller;RL;Norm;1Fam;5;2127;2128;3;86;GasA;Ex;Y;86;63;149;3;1;3;7;Anbau;2;NA;4;2138;187500
999;IR1;Nein;East End;RL;Norm;1Fam;5;2124;2125;3;188;GasA;Ex;Y;192;0;192;3;1;4;7;Anbau;3;NA;6;2139;315000
4041;Reg;Nein;Burnley;RL;Str;1Fam;5;2083;2083;3;0;GasA;Ex;Y;189;0;189;2;1;3;9;2Typen;4;2;6;2137;130000
1317;Reg;Ja;Somerset;RL;Norm;1Fam;6;2086;2117;3;110;GasA;Gut;Y;134;0;134;3;1;3;6;Freistehend;2;NA;11;2136;168000
574;Reg;Nein;Dixon Side;RM;Norm;1Fam;5;2056;2080;3;89;GasA;Ty;N;92;0;92;2;1;3;5;Freistehend;1;NA;5;2137;102000
669;Reg;Nein;ChinaTown;RL;Norm;1Fam;8;2102;2136;4;36;GasA;Gut;Y;81;0;81;3;1;4;5;Freistehend;2;NA;10;2137;117000
1134;IR1;Nein;East End;RL;Norm;1Fam;5;2128;2129;3;114;GasA;Ex;Y;119;124;243;4;1;4;8;Anbau;3;NA;7;2139;336000
779;Reg;Nein;Burnley;RL;Norm;2Fam;5;2108;2108;3;155;GasA;Ty;Y;155;0;155;4;2;3;10;2Typen;2;NA;10;2136;145000
802;Reg;Nein;Dixon Side;RM;Norm;1Fam;5;2078;2131;3;62;GasA;Ty;Y;100;20;119;2;1;3;6;Freistehend;1;NA;1;2138;127000
513;Reg;Nein;Old Gotham;RM;Norm;1Fam;6;2050;2110;3;107;GasA;Ty;N;107;47;154;4;1;2;9;Freistehend;1;NA;7;2136;111500
10698;IR2;Ja;Clear Creek;RL;Norm;1Fam;5;2101;2132;3;153;GasA;Ty;Y;169;0;169;2;1;4;5;Anbau;2;NA;6;2137;302000
665;Reg;Nein;City Hall;RL;Norm;1Fam;8;2048;2120;3;56;GasA;Ex;Y;58;56;114;3;1;3;6;Freistehend;1;NA;5;2139;137000
959;Reg;Nein;Water District;RM;Norm;2FamAn;3;2045;2080;2;50;GasA;Ex;N;75;50;125;3;2;3;8;NA;0;NA;5;2138;82375
660;IR1;Nein;New Gotham;RL;Norm;1Fam;7;2087;2087;3;76;GasA;Ty;Y;76;0;76;2;1;3;5;Freistehend;1;NA;7;2136;129900
528;Reg;Ja;University;RL;Norm;2FamAn;6;2042;2130;2;72;GasA;Ex;N;87;72;159;6;1;2;9;NA;0;NA;3;2138;135900
206;Reg;Nein;Paris Island;RM;Norm;REH;4;2100;2100;3;51;GasA;Ty;Y;51;51;101;3;1;3;6;Anbau;1;NA;8;2139;88000
1158;IR1;Nein;Miller;RL;Bahn;1Fam;5;2129;2130;3;96;GasA;Ex;Y;96;119;216;4;1;3;8;Eingebaut;2;NA;5;2138;225000
671;Reg;Ja;New Gotham;RL;Str;1Fam;6;2084;2084;3;77;GasA;Gut;Y;77;0;77;2;1;4;4;Freistehend;2;NA;6;2138;105500
825;IR1;Ja;Burnley;RL;Norm;1Fam;5;2113;2113;3;80;GasA;Ty;Y;84;0;84;2;1;3;5;Anbau;2;NA;6;2136;131000
1096;IR1;Nein;Miller;RL;Norm;1Fam;5;2134;2135;3;79;GasA;Ex;Y;79;103;182;4;1;4;8;Eingebaut;2;NA;7;2137;215000
502;Reg;Nein;Old Gotham;RL;Str;1Fam;5;2070;2080;3;39;GasA;Gut;N;56;0;56;2;1;4;4;NA;0;NA;6;2139;59000
4945;IR1;Ja;Clear Creek;RL;Norm;1Fam;6;2084;2124;3;127;GasA;Ex;Y;154;0;154;2;1;4;6;Anbau;2;NA;3;2138;256000
142;Reg;Nein;Paris Island;RM;Norm;RMH;5;2100;2100;3;51;GasA;Ty;Y;51;51;101;3;1;3;5;NA;0;NA;6;2136;79500
669;Reg;Nein;New Gotham;RL;Norm;1Fam;5;2080;2080;3;0;GasA;Ty;Y;97;0;97;2;1;3;4;Freistehend;2;NA;7;2136;109900
1042;IR1;Nein;Miller;RL;Norm;1Fam;5;2128;2129;3;86;GasA;Gut;Y;89;86;175;4;1;4;10;Anbau;2;NA;7;2136;199900
1076;Reg;Nein;North West;RL;Norm;1Fam;6;2109;2109;3;50;GasA;Ty;Y;97;64;160;3;1;3;6;Anbau;2;NA;11;2137;197000
833;Reg;Ja;City Hall;RL;Norm;1Fam;6;2056;2080;3;60;GasA;Ex;Y;62;60;122;2;1;3;6;Freistehend;1;NA;7;2138;145000
234;Reg;Nein;Grand Park;RM;Norm;RMH;5;2134;2134;3;90;GasA;Ex;Y;90;69;159;3;1;4;7;Freistehend;2;NA;5;2136;130000
187;Reg;Nein;Novick District;RM;Norm;REH;5;2100;2100;3;59;GasA;Ty;Y;59;62;121;3;1;3;6;Freistehend;2;NA;4;2137;106000
641;Reg;Nein;Old Gotham;RM;Norm;1Fam;7;2068;2130;3;77;GasA;Gut;Y;77;39;116;3;1;2;6;Freistehend;1;NA;1;2140;119000
1434;Reg;Nein;North East;RL;Norm;1Fam;5;2138;2138;3;287;GasA;Ex;Y;223;0;223;2;1;5;10;Anbau;3;NA;4;2139;555000
811;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2132;2132;3;81;GasA;Ex;Y;81;96;177;4;1;4;8;Eingebaut;2;NA;9;2136;197000
1421;IR3;Nein;ChinaTown;RL;Norm;1Fam;5;2126;2132;3;80;GasA;Ex;Y;113;72;185;3;1;4;7;Anbau;2;NA;6;2137;211000
691;Reg;Nein;New Gotham;RL;Norm;1Fam;7;2090;2090;3;83;GasA;Gut;Y;83;0;83;2;1;3;5;Freistehend;2;NA;8;2139;141500
569;Reg;Nein;Dixon Side;RM;Norm;1Fam;7;2065;2125;3;82;GasA;Ex;Y;92;54;146;3;1;4;6;Freistehend;1;NA;7;2139;133000
1214;Reg;Nein;North West;RL;Norm;1Fam;5;2106;2106;3;113;GasA;Ty;Y;113;0;113;3;1;4;6;Anbau;2;NA;11;2138;161000
705;Reg;Nein;New Gotham;RL;Pos;1Fam;5;2092;2092;3;80;GasA;Ty;Y;81;87;168;4;1;3;8;Anbau;1;NA;7;2137;169500
398;IR1;Nein;Somerset;RL;Norm;1Fam;9;2076;2131;4;52;GasA;Ex;Y;65;0;65;2;1;2;4;CarPort;1;NA;9;2139;88750
828;IR1;Nein;New Gotham;RL;Norm;2Fam;5;2097;2097;3;147;GasA;Ty;Y;147;0;147;4;2;3;8;Freistehend;2;NA;10;2136;119000
1027;Reg;Nein;ChinaTown;RL;Norm;1Fam;6;2137;2137;3;145;GasA;Ex;Y;145;0;145;3;1;4;6;Anbau;3;NA;2;2138;218836
794;Reg;Nein;New Gotham;RL;Norm;2Fam;4;2080;2080;3;0;GasA;Gut;N;97;0;97;2;2;3;6;Freistehend;2;NA;7;2136;93500
963;IR1;Nein;New Gotham;RL;Norm;1Fam;6;2094;2094;3;94;GasA;Ex;Y;138;0;138;3;1;3;7;Anbau;2;NA;4;2136;167000
814;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2136;2136;3;138;GasA;Ex;Y;139;0;139;3;1;4;7;Anbau;2;NA;6;2137;212999
929;Reg;Nein;Somerst;RL;Norm;1Fam;5;2136;2136;3;148;GasA;Ex;Y;148;0;148;3;1;4;7;Anbau;3;NA;12;2137;227000
392;Reg;Nein;Paris Island;RM;Norm;REH;7;2106;2106;3;97;GasA;Ty;Y;98;0;98;3;1;3;6;Anbau;2;NA;6;2137;129900
1132;Reg;Nein;Grand Park;RL;Norm;2FamAn;4;2071;2080;2;62;WP;Ud;N;62;23;86;2;1;2;5;Freistehend;1;NA;7;2140;80000
1307;Reg;Nein;Miller;RL;Norm;1Fam;5;2121;2121;3;78;GasA;Gut;Y;79;80;159;3;1;4;7;Anbau;2;NA;9;2138;185000
966;Reg;Nein;North West;RL;Norm;1Fam;6;2110;2118;3;69;GasA;Ty;Y;119;71;190;3;1;3;7;Anbau;2;NA;3;2138;185000
1558;IR2;Nein;East End;RL;Norm;1Fam;5;2128;2128;3;111;GasA;Gut;Y;111;60;171;4;1;3;7;Anbau;2;NA;6;2140;221000
1082;IR1;Nein;ChinaTown;RL;Norm;1Fam;5;2135;2136;3;65;GasA;Ex;Y;65;67;132;3;1;4;7;Anbau;2;NA;7;2139;173000
1533;Reg;Nein;North West;RL;Norm;1Fam;5;2101;2101;3;114;GasA;Ud;Y;123;0;123;3;1;3;5;Anbau;2;NA;5;2139;172500
812;IR1;Nein;Somerset;RL;Norm;1Fam;6;2112;2112;3;78;GasA;Ty;Y;80;0;80;2;1;3;4;Freistehend;2;NA;7;2139;137000
636;Reg;Nein;Grand Park;RL;Norm;2Fam;5;2085;2085;3;0;GasA;Ty;N;107;0;107;2;2;3;6;NA;0;NA;7;2138;82500
787;IR1;Nein;Somerset;RL;Norm;1Fam;7;2107;2125;3;47;GasA;Ty;Y;113;0;113;3;1;3;6;Anbau;2;NA;7;2136;151000
669;Reg;Nein;Grand Park;RL;Norm;1Fam;7;2106;2131;3;64;GasA;Ty;Y;64;66;130;3;1;3;6;Anbau;2;NA;2;2138;160500
846;IR1;Nein;Burnley;RL;Norm;1Fam;6;2108;2108;4;102;GasA;Ex;Y;103;0;103;1;1;4;4;Anbau;2;NA;7;2139;165500
709;Reg;Nein;Old Gotham;RM;Norm;1Fam;6;2070;2115;4;74;GasA;Gut;Y;102;52;154;2;1;3;8;Freistehend;2;NA;5;2138;119164
845;Reg;Nein;Dixon Side;RM;Bahn;1Fam;6;2060;2090;3;69;GasA;Ty;Y;72;0;87;2;1;3;4;Freistehend;1;NA;8;2138;79500
1126;IR1;Nein;Burnley;RL;Norm;1Fam;5;2134;2135;3;159;GasA;Ex;Y;159;0;159;3;1;4;7;Anbau;2;NA;4;2139;240000
